id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSG00000189221.9	2371.26536057784	3.39426089369634	0.135574756922994	25.0360831966991	2.47518062884404e-138	3.95806134358451e-134	MAOA
ENSG00000120129.5	3417.25501117796	2.96990411748956	0.120927972112267	24.5592815757497	3.44226361596094e-133	2.75226187414157e-129	DUSP1
ENSG00000101347.9	14106.719960958	3.74934033984072	0.156084463741519	24.0212270328824	1.66892194634171e-127	8.89591028131675e-124	SAMHD1
ENSG00000152583.12	973.479155887446	4.50022438136647	0.197110948916897	22.8309203831381	2.26145056478889e-115	9.04071399538477e-112	SPARCL1
ENSG00000196136.17	2708.30900926994	3.24329063387956	0.143802516549033	22.5537821709378	1.23285775222261e-112	3.94292566315836e-109	SERPINA3
ENSG00000211445.11	12502.8859762713	3.7680366318931	0.168067668804394	22.4197590095602	2.52548873790311e-111	6.73084840130144e-108	GPX3
ENSG00000157214.13	3029.85094344291	2.01180928291738	0.0938229349374211	21.4426172476829	5.35176969715792e-102	1.22257356038932e-98	STEAP2
ENSG00000162614.18	5507.39672507923	2.00738230675434	0.0948093954388182	21.1728204516369	1.70068856676933e-99	3.39946385890104e-96	NEXN
ENSG00000109906.13	437.502461807451	6.37252081477528	0.309988091886706	20.557308430752	6.62051698496904e-94	1.17631874562933e-90	ZBTB16
ENSG00000125148.6	3688.29415225271	2.23228136099156	0.109940838025364	20.3043873512821	1.1760145197006e-91	1.88056481845323e-88	MT2A
ENSG00000154734.14	29578.8281278253	2.23666804026523	0.111642054510785	20.0342787497624	2.76820348088598e-89	4.02421289662251e-86	ADAMTS1
ENSG00000134243.11	5538.56936486793	2.1995935179373	0.112662168076183	19.523798942427	6.89184167368135e-85	9.18395335031988e-82	SORT1
ENSG00000127954.12	492.991538454215	4.7445981751676	0.245556313748227	19.3218333617449	3.51926636824012e-83	4.3289683457329e-80	STEAP4
ENSG00000139132.14	1214.0330769509	2.14945707967996	0.111493861743432	19.278703294234	8.10837334248151e-83	9.26149986568728e-80	FGD4
ENSG00000178695.5	2648.60453890391	-2.53580560241722	0.137195483214517	-18.4831566098446	2.82178783571907e-76	3.00821395206558e-73	KCTD12
ENSG00000162692.11	505.561344137899	-3.67636461015359	0.201426503327526	-18.2516429040905	2.00779355327522e-74	2.0066641694015e-71	VCAM1
ENSG00000106484.15	943.511566273967	-2.03825505053504	0.112392198901932	-18.1352004004614	1.68085237652439e-73	1.58108884429421e-70	MEST
ENSG00000163884.3	565.540070323531	4.51174926213818	0.258064809561805	17.4830085116957	1.93039930423195e-68	1.71494529299851e-65	KLF15
ENSG00000166741.7	7487.63458621827	2.24029554590173	0.128213075007769	17.4732221792979	2.29178234949119e-68	1.92883639740598e-65	NNMT
ENSG00000179094.15	772.447260047888	3.12521567292529	0.179968454696704	17.365352601333	1.50969601417783e-67	1.20707744813588e-64	PER1
ENSG00000145390.11	8691.75203244064	2.2915437469422	0.133380190467636	17.18054037041	3.71435136698141e-66	2.82839012901904e-63	USP53
ENSG00000198624.12	2036.56498132973	2.8453597902475	0.165799530221627	17.1614466364534	5.16118912957936e-66	3.75148069868653e-63	CCDC69
ENSG00000253368.3	1046.20909058156	2.02234954173117	0.118873607892668	17.0126033657292	6.62283067603646e-65	4.60459501480431e-62	TRNP1
ENSG00000119139.19	5703.28685176812	1.96411012717376	0.11613051856205	16.9129540752401	3.61142020865717e-64	2.40625918985987e-61	TJP2
ENSG00000233117.2	121.654323859191	4.89486933727694	0.294046625941841	16.6465754252357	3.20421298045602e-62	2.04954279081889e-59	NA
ENSG00000124766.6	1280.96583309637	-2.38888686257483	0.143532531598556	-16.6435221058893	3.37188281077183e-62	2.07383761642509e-59	SOX4
ENSG00000146250.6	310.308100501354	-2.72651632259998	0.164046440438413	-16.6203930747499	4.96063180012056e-62	2.93798011539733e-59	PRSS35
ENSG00000126016.15	401.218240451646	-2.58461654591097	0.155613127068951	-16.6092449563446	5.97403919282148e-62	3.41181645472887e-59	AMOT
ENSG00000163661.3	9808.60352018602	2.25148535419486	0.137485253409567	16.376195252648	2.82894902910164e-60	1.55992151463325e-57	PTX3
ENSG00000163083.5	421.531035385511	3.48362743600847	0.213290429293949	16.3327883371995	5.76864929327676e-60	3.07488236162629e-57	INHBB
ENSG00000163394.5	1174.90769281022	-2.18340302179556	0.134413141446865	-16.2439698848842	2.46446322664816e-59	1.27126553088164e-56	CCKAR
ENSG00000105989.9	350.02299165458	-3.05035347707494	0.192100712464294	-15.8789284950826	8.86803664731692e-57	4.4315241883514e-54	WNT2
ENSG00000262655.3	1634.00699642074	1.78812289036928	0.113149866795185	15.8031373877443	2.96010533435045e-56	1.43439528489691e-53	SPON1
